id,id_type_relation,entite1,entite2,id_patron,extrait,reference
17,0,four,sole,7,cuite dans un four à sole (four,./corpus/wikipedia/Croquette de Vinsobres.txt #306
18,9,four,sole,7,cuite dans un four à sole (four,./corpus/wikipedia/Croquette de Vinsobres.txt #306
19,28,four,sole,7,cuite dans un four à sole (four,./corpus/wikipedia/Croquette de Vinsobres.txt #306
20,0,four,boulanger,8,à sole (four de boulanger).,./corpus/wikipedia/Croquette de Vinsobres.txt #310
21,25,four,boulanger,8,à sole (four de boulanger).,./corpus/wikipedia/Croquette de Vinsobres.txt #310
22,28,four,boulanger,8,à sole (four de boulanger).,./corpus/wikipedia/Croquette de Vinsobres.txt #310
23,122,four,boulanger,8,à sole (four de boulanger).,./corpus/wikipedia/Croquette de Vinsobres.txt #310
24,156,four,boulanger,8,à sole (four de boulanger).,./corpus/wikipedia/Croquette de Vinsobres.txt #310
25,0,apéritif,Champagne,9,"parfaitement avec les apéritifs au Champagne, à",./corpus/wikipedia/Croquette de Vinsobres.txt #356
26,0,vin,doux,10,Die ou aux vins doux naturels comme,./corpus/wikipedia/Croquette de Vinsobres.txt #367
27,17,vin,doux,10,Die ou aux vins doux naturels comme,./corpus/wikipedia/Croquette de Vinsobres.txt #367
28,777,vin,doux,10,Die ou aux vins doux naturels comme,./corpus/wikipedia/Croquette de Vinsobres.txt #367
29,777,muscat,Beaumes-de-Venise,11,"Rasteau ou le muscat de Beaumes-de-Venise,.",./corpus/wikipedia/Croquette de Vinsobres.txt #375
30,0,spécialité,gastronomique,12,"Les croquettes, spécialité gastronomique du patrimoine",./corpus/wikipedia/Croquette de Vinsobres.txt #384
31,0,sauce,salade,13,Whip est une sauce à salade pour hamburger,./corpus/wikipedia/Miracle Whip.txt #4
32,0,salade,hamburger,14,une sauce à salade pour hamburger pouvant servir,./corpus/wikipedia/Miracle Whip.txt #6
33,10,salade,hamburger,14,une sauce à salade pour hamburger pouvant servir,./corpus/wikipedia/Miracle Whip.txt #6
34,51,salade,hamburger,14,une sauce à salade pour hamburger pouvant servir,./corpus/wikipedia/Miracle Whip.txt #6
35,0,pot,miracle,15,".
Un pot de Miracle Whip apparaît",./corpus/wikipedia/Miracle Whip.txt #103
36,0,saison,épisode,16,"
Dans la saison 6 épisode 12 de",./corpus/wikipedia/Miracle Whip.txt #149
37,6,saison,épisode,16,"
Dans la saison 6 épisode 12 de",./corpus/wikipedia/Miracle Whip.txt #149
38,9,saison,épisode,16,"
Dans la saison 6 épisode 12 de",./corpus/wikipedia/Miracle Whip.txt #149
39,0,pot,miracle,15,a acheté un pot de Miracle Whip.,./corpus/wikipedia/Miracle Whip.txt #174
40,777,knack,Alsace,11,La knack ou knack d'Alsace ou saucisse,./corpus/wikipedia/Knack _saucisse_.txt #3
41,0,saucisse,Strasbourg,11,d'Alsace ou saucisse de Strasbourg est une,./corpus/wikipedia/Knack _saucisse_.txt #7
42,0,spécialité,culinaire,17,Strasbourg est une spécialité culinaire traditionnelle de,./corpus/wikipedia/Knack _saucisse_.txt #12
43,0,viande,porc,18,à base de viande de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #32
44,6,viande,porc,18,à base de viande de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #32
45,8,viande,porc,18,à base de viande de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #32
46,10,viande,porc,18,à base de viande de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #32
47,27,viande,porc,18,à base de viande de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #32
48,51,viande,porc,18,à base de viande de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #32
49,666,viande,porc,18,à base de viande de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #32
50,10,chair,saucisse,19,fabriquée avec une chair à saucisse de viande,./corpus/wikipedia/Knack _saucisse_.txt #54
51,0,saucisse,viande,20,une chair à saucisse de viande de porc,./corpus/wikipedia/Knack _saucisse_.txt #56
52,6,saucisse,viande,20,une chair à saucisse de viande de porc,./corpus/wikipedia/Knack _saucisse_.txt #56
53,666,saucisse,viande,20,une chair à saucisse de viande de porc,./corpus/wikipedia/Knack _saucisse_.txt #56
54,0,viande,porc,21,"à saucisse de viande de porc, bœuf",./corpus/wikipedia/Knack _saucisse_.txt #58
55,6,viande,porc,21,"à saucisse de viande de porc, bœuf",./corpus/wikipedia/Knack _saucisse_.txt #58
56,8,viande,porc,21,"à saucisse de viande de porc, bœuf",./corpus/wikipedia/Knack _saucisse_.txt #58
57,10,viande,porc,21,"à saucisse de viande de porc, bœuf",./corpus/wikipedia/Knack _saucisse_.txt #58
58,27,viande,porc,21,"à saucisse de viande de porc, bœuf",./corpus/wikipedia/Knack _saucisse_.txt #58
59,51,viande,porc,21,"à saucisse de viande de porc, bœuf",./corpus/wikipedia/Knack _saucisse_.txt #58
60,666,viande,porc,21,"à saucisse de viande de porc, bœuf",./corpus/wikipedia/Knack _saucisse_.txt #58
61,0,viande,bœuf,22,"à saucisse de viande de porc, bœuf et/",./corpus/wikipedia/Knack _saucisse_.txt #58
62,8,viande,bœuf,22,"à saucisse de viande de porc, bœuf et/",./corpus/wikipedia/Knack _saucisse_.txt #58
63,27,viande,bœuf,22,"à saucisse de viande de porc, bœuf et/",./corpus/wikipedia/Knack _saucisse_.txt #58
64,666,viande,bœuf,22,"à saucisse de viande de porc, bœuf et/",./corpus/wikipedia/Knack _saucisse_.txt #58
65,17,boyau,naturel,23,Embossée dans un boyau naturel de mouton,./corpus/wikipedia/Knack _saucisse_.txt #78
66,17,pâte,fin,24,"incurvée, à pâte fine, et",./corpus/wikipedia/Knack _saucisse_.txt #93
67,17,texture,ferme,24,", et à texture ferme, est",./corpus/wikipedia/Knack _saucisse_.txt #98
68,0,colorant,jaune,25,"colorée avec des colorants alimentaires jaune, ocre",./corpus/wikipedia/Knack _saucisse_.txt #108
69,8,colorant,jaune,25,"colorée avec des colorants alimentaires jaune, ocre",./corpus/wikipedia/Knack _saucisse_.txt #108
70,106,colorant,jaune,25,"colorée avec des colorants alimentaires jaune, ocre",./corpus/wikipedia/Knack _saucisse_.txt #108
71,666,colorant,jaune,25,"colorée avec des colorants alimentaires jaune, ocre",./corpus/wikipedia/Knack _saucisse_.txt #108
72,0,colorant,ocre,26,"colorée avec des colorants alimentaires jaune, ocre, rose",./corpus/wikipedia/Knack _saucisse_.txt #108
73,0,bois,hêtre,27,"à chaud au bois de hêtre,.",./corpus/wikipedia/Knack _saucisse_.txt #131
74,8,bois,hêtre,27,"à chaud au bois de hêtre,.",./corpus/wikipedia/Knack _saucisse_.txt #131
75,51,bois,hêtre,27,"à chaud au bois de hêtre,.",./corpus/wikipedia/Knack _saucisse_.txt #131
76,0,verbe,allemand,28,-onomatopée au verbe allemand knacken (,./corpus/wikipedia/Knack _saucisse_.txt #145
77,17,verbe,allemand,28,-onomatopée au verbe allemand knacken (,./corpus/wikipedia/Knack _saucisse_.txt #145
78,777,verbe,allemand,28,-onomatopée au verbe allemand knacken (,./corpus/wikipedia/Knack _saucisse_.txt #145
79,0,saucisse,allemand,29,au nom des saucisses allemandes Knackwurst(en),./corpus/wikipedia/Knack _saucisse_.txt #164
80,777,saucisse,allemand,29,au nom des saucisses allemandes Knackwurst(en),./corpus/wikipedia/Knack _saucisse_.txt #164
81,0,préparation,charcutier,30,knack est une préparation charcutière très ancienne,./corpus/wikipedia/Knack _saucisse_.txt #205
82,0,saucisse,Francfort,31,. Variante des saucisse de Francfort et saucisse,./corpus/wikipedia/Knack _saucisse_.txt #212
83,777,saucisse,Francfort,31,. Variante des saucisse de Francfort et saucisse,./corpus/wikipedia/Knack _saucisse_.txt #212
84,777,saucisse,Vienne,11,"de Francfort et saucisse de Vienne, la",./corpus/wikipedia/Knack _saucisse_.txt #216
85,777,knack,Alsace,11,"ancêtre de la knack d'Alsace, apparait",./corpus/wikipedia/Knack _saucisse_.txt #231
86,0,grand,quantité,32,on offrit de grandes quantités de knacks,./corpus/wikipedia/Knack _saucisse_.txt #264
87,777,knack,Alsace,33,grandes quantités de knacks d'Alsace à la,./corpus/wikipedia/Knack _saucisse_.txt #267
88,777,annexion,Alsace,34,moment de l'annexion de l'Alsace par les,./corpus/wikipedia/Knack _saucisse_.txt #313
89,0,saucisse,allemand,35,"faire culinaire en saucisse allemande, et",./corpus/wikipedia/Knack _saucisse_.txt #361
90,777,saucisse,allemand,35,"faire culinaire en saucisse allemande, et",./corpus/wikipedia/Knack _saucisse_.txt #361
91,0,moutarde,variante,36,et de la moutarde alsacienne douce (variante du hot,./corpus/wikipedia/Knack _saucisse_.txt #410
92,0,choucroute,Alsace,37,accompagnement de la choucroute d'Alsace garnie.,./corpus/wikipedia/Knack _saucisse_.txt #437
93,15,choucroute,Alsace,37,accompagnement de la choucroute d'Alsace garnie.,./corpus/wikipedia/Knack _saucisse_.txt #437
94,171,choucroute,Alsace,37,accompagnement de la choucroute d'Alsace garnie.,./corpus/wikipedia/Knack _saucisse_.txt #437
95,666,choucroute,Alsace,37,accompagnement de la choucroute d'Alsace garnie.,./corpus/wikipedia/Knack _saucisse_.txt #437
96,0,eau,chaud,38,min dans une eau chaude à peine,./corpus/wikipedia/Knack _saucisse_.txt #453
97,17,eau,chaud,38,min dans une eau chaude à peine,./corpus/wikipedia/Knack _saucisse_.txt #453
98,0,salade,pomme,39,"apéritif, en salade de pommes de terre",./corpus/wikipedia/Knack _saucisse_.txt #494
99,9,salade,pomme,39,"apéritif, en salade de pommes de terre",./corpus/wikipedia/Knack _saucisse_.txt #494
100,0,pomme,terre,40,"en salade de pommes de terre, avec",./corpus/wikipedia/Knack _saucisse_.txt #496
101,0,pomme,terre,8,"la choucroute, pommes de terre ou purée",./corpus/wikipedia/Knack _saucisse_.txt #505
102,0,vin,Alsace,41,"bières ou de vins d'Alsace...
",./corpus/wikipedia/Knack _saucisse_.txt #531
103,15,vin,Alsace,41,"bières ou de vins d'Alsace...
",./corpus/wikipedia/Knack _saucisse_.txt #531
104,777,knack,Alsace,11,"...
La knack d'Alsace est produite",./corpus/wikipedia/Knack _saucisse_.txt #537
105,0,industrie,distribution,42,"ou par l'industrie agroalimentaire de grande distribution, regroupées",./corpus/wikipedia/Knack _saucisse_.txt #549
106,0,boucher,charcutier,43,Fédération régionale des bouchers charcutiers traiteurs d',./corpus/wikipedia/Knack _saucisse_.txt #563
107,5,boucher,charcutier,43,Fédération régionale des bouchers charcutiers traiteurs d',./corpus/wikipedia/Knack _saucisse_.txt #563
108,8,boucher,charcutier,43,Fédération régionale des bouchers charcutiers traiteurs d',./corpus/wikipedia/Knack _saucisse_.txt #563
109,0,charcutier,traiteur,44,régionale des bouchers charcutiers traiteurs d'Alsace,./corpus/wikipedia/Knack _saucisse_.txt #564
110,5,charcutier,traiteur,44,régionale des bouchers charcutiers traiteurs d'Alsace,./corpus/wikipedia/Knack _saucisse_.txt #564
111,777,knack,Alsace,45,avec 6000tonnes de knacks d'Alsace sur les,./corpus/wikipedia/Knack _saucisse_.txt #610
112,777,knack,Alsace,46,année. La knack d'Alsace se caractérise,./corpus/wikipedia/Knack _saucisse_.txt #624
113,17,texture,ferme,5,caractérise par sa texture ferme et son,./corpus/wikipedia/Knack _saucisse_.txt #631
114,17,goût,fumé,5,ferme et son goût fumé. Elle,./corpus/wikipedia/Knack _saucisse_.txt #635
115,0,viande,porc,18,à base de viandes de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #644
116,6,viande,porc,18,à base de viandes de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #644
117,8,viande,porc,18,à base de viandes de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #644
118,10,viande,porc,18,à base de viandes de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #644
119,27,viande,porc,18,à base de viandes de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #644
120,51,viande,porc,18,à base de viandes de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #644
121,666,viande,porc,18,à base de viandes de porc et de,./corpus/wikipedia/Knack _saucisse_.txt #644
122,17,boyau,naturel,23,maîtrisé dans un boyau naturel de mouton,./corpus/wikipedia/Knack _saucisse_.txt #680
123,0,viande,bœuf,47,l'apport de viande de bœuf contenant des,./corpus/wikipedia/Knack _saucisse_.txt #700
124,8,viande,bœuf,47,l'apport de viande de bœuf contenant des,./corpus/wikipedia/Knack _saucisse_.txt #700
125,27,viande,bœuf,47,l'apport de viande de bœuf contenant des,./corpus/wikipedia/Knack _saucisse_.txt #700
126,666,viande,bœuf,47,l'apport de viande de bœuf contenant des,./corpus/wikipedia/Knack _saucisse_.txt #700
127,0,viande,porc,8,celles de la viande de porc. Son,./corpus/wikipedia/Knack _saucisse_.txt #711
128,6,viande,porc,8,celles de la viande de porc. Son,./corpus/wikipedia/Knack _saucisse_.txt #711
129,8,viande,porc,8,celles de la viande de porc. Son,./corpus/wikipedia/Knack _saucisse_.txt #711
130,10,viande,porc,8,celles de la viande de porc. Son,./corpus/wikipedia/Knack _saucisse_.txt #711
131,27,viande,porc,8,celles de la viande de porc. Son,./corpus/wikipedia/Knack _saucisse_.txt #711
132,51,viande,porc,8,celles de la viande de porc. Son,./corpus/wikipedia/Knack _saucisse_.txt #711
133,666,viande,porc,8,celles de la viande de porc. Son,./corpus/wikipedia/Knack _saucisse_.txt #711
134,0,fumage,bois,48,porc. Son fumage naturel au bois de hêtre,./corpus/wikipedia/Knack _saucisse_.txt #716
135,0,bois,hêtre,49,fumage naturel au bois de hêtre confère à,./corpus/wikipedia/Knack _saucisse_.txt #719
136,8,bois,hêtre,49,fumage naturel au bois de hêtre confère à,./corpus/wikipedia/Knack _saucisse_.txt #719
137,51,bois,hêtre,49,fumage naturel au bois de hêtre confère à,./corpus/wikipedia/Knack _saucisse_.txt #719
138,777,knack,Alsace,11,confère à la knack d'Alsace un délicat,./corpus/wikipedia/Knack _saucisse_.txt #725
139,23,délicat,goût,50,d'Alsace un délicat goût fumé.,./corpus/wikipedia/Knack _saucisse_.txt #729
140,17,goût,fumé,51,"Alsace un délicat goût fumé.
",./corpus/wikipedia/Knack _saucisse_.txt #730
141,0,saucisse,Strasbourg,11,Les knack et saucisse de Strasbourg bénéficient de,./corpus/wikipedia/Knack _saucisse_.txt #737
142,0,sauce,poulette,52,,./corpus/wikipedia/Sauce poulette.txt #1
143,0,sauce,cuisine,53,poulette est une sauce classique de la cuisine française.,./corpus/wikipedia/Sauce poulette.txt #5
144,3,sauce,cuisine,53,poulette est une sauce classique de la cuisine française.,./corpus/wikipedia/Sauce poulette.txt #5
145,6,sauce,cuisine,53,poulette est une sauce classique de la cuisine française.,./corpus/wikipedia/Sauce poulette.txt #5
146,15,sauce,cuisine,53,poulette est une sauce classique de la cuisine française.,./corpus/wikipedia/Sauce poulette.txt #5
147,35,sauce,cuisine,53,poulette est une sauce classique de la cuisine française.,./corpus/wikipedia/Sauce poulette.txt #5
148,17,cuisine,français,5,"classique de la cuisine française.
",./corpus/wikipedia/Sauce poulette.txt #9
149,0,jus,citron,54,"Prat, de jus de citron, de",./corpus/wikipedia/Sauce poulette.txt #31
150,8,jus,citron,54,"Prat, de jus de citron, de",./corpus/wikipedia/Sauce poulette.txt #31
151,16,jus,citron,54,"Prat, de jus de citron, de",./corpus/wikipedia/Sauce poulette.txt #31
152,80,jus,citron,54,"Prat, de jus de citron, de",./corpus/wikipedia/Sauce poulette.txt #31
153,666,jus,citron,54,"Prat, de jus de citron, de",./corpus/wikipedia/Sauce poulette.txt #31
154,10,pied,mouton,8,"servie avec des pieds de mouton.
",./corpus/wikipedia/Sauce poulette.txt #56
155,0,restaurant,France,55,la légitimation du restaurant en France. En,./corpus/wikipedia/Sauce poulette.txt #77
156,15,restaurant,France,55,la légitimation du restaurant en France. En,./corpus/wikipedia/Sauce poulette.txt #77
157,777,restaurant,France,55,la légitimation du restaurant en France. En,./corpus/wikipedia/Sauce poulette.txt #77
158,0,pied,cochon,56,Boulanger sert un pied de cochon à la,./corpus/wikipedia/Sauce poulette.txt #92
159,10,pied,cochon,56,Boulanger sert un pied de cochon à la,./corpus/wikipedia/Sauce poulette.txt #92
160,0,sauce,poulette,52,cochon à la sauce poulette; il,./corpus/wikipedia/Sauce poulette.txt #97
161,777,parlement,Paris,11,nappage. Le Parlement de Paris tranche finalement,./corpus/wikipedia/Sauce poulette.txt #152
162,0,sauce,poulette,52,bruit que la sauce poulette est devenue,./corpus/wikipedia/Sauce poulette.txt #196
163,0,pot,feu,57,"(?, pot au feu),",./corpus/wikipedia/Nabe.txt #15
164,17,recette,unique,5,"représente pas une recette unique, mais",./corpus/wikipedia/Nabe.txt #38
165,777,fondue,suisse,5,fromage comme les fondues suisse ou savoyarde,./corpus/wikipedia/Nabe.txt #80
166,0,bouillon,poisson,58,"souvent avec du bouillon de poisson, ou",./corpus/wikipedia/Nabe.txt #110
167,777,bouillon,poisson,58,"souvent avec du bouillon de poisson, ou",./corpus/wikipedia/Nabe.txt #110
168,0,konbu,algue,59,"poisson, ou konbu (algues séchées)",./corpus/wikipedia/Nabe.txt #115
169,6,konbu,algue,59,"poisson, ou konbu (algues séchées)",./corpus/wikipedia/Nabe.txt #115
170,17,chou,chinois,5,"les recettes, chou chinois, kuzukiri",./corpus/wikipedia/Nabe.txt #151
171,0,tranche,viande,60,ou de fines tranches de viande (bœuf,./corpus/wikipedia/Nabe.txt #191
172,3,tranche,viande,60,ou de fines tranches de viande (bœuf,./corpus/wikipedia/Nabe.txt #191
173,35,tranche,viande,60,ou de fines tranches de viande (bœuf,./corpus/wikipedia/Nabe.txt #191
174,174,tranche,viande,60,ou de fines tranches de viande (bœuf,./corpus/wikipedia/Nabe.txt #191
175,0,viande,bœuf,61,"fines tranches de viande (bœuf, porc",./corpus/wikipedia/Nabe.txt #193
176,8,viande,bœuf,61,"fines tranches de viande (bœuf, porc",./corpus/wikipedia/Nabe.txt #193
177,27,viande,bœuf,61,"fines tranches de viande (bœuf, porc",./corpus/wikipedia/Nabe.txt #193
178,666,viande,bœuf,61,"fines tranches de viande (bœuf, porc",./corpus/wikipedia/Nabe.txt #193
179,0,viande,porc,62,"fines tranches de viande (bœuf, porc).",./corpus/wikipedia/Nabe.txt #193
180,6,viande,porc,62,"fines tranches de viande (bœuf, porc).",./corpus/wikipedia/Nabe.txt #193
181,8,viande,porc,62,"fines tranches de viande (bœuf, porc).",./corpus/wikipedia/Nabe.txt #193
182,10,viande,porc,62,"fines tranches de viande (bœuf, porc).",./corpus/wikipedia/Nabe.txt #193
183,27,viande,porc,62,"fines tranches de viande (bœuf, porc).",./corpus/wikipedia/Nabe.txt #193
184,51,viande,porc,62,"fines tranches de viande (bœuf, porc).",./corpus/wikipedia/Nabe.txt #193
185,666,viande,porc,62,"fines tranches de viande (bœuf, porc).",./corpus/wikipedia/Nabe.txt #193
186,0,lait,soja,63,", nabe au lait de soja).",./corpus/wikipedia/Nabe.txt #219
187,777,lait,soja,63,", nabe au lait de soja).",./corpus/wikipedia/Nabe.txt #219
188,17,version,moderne,5,".
Des versions modernes existent également",./corpus/wikipedia/Monaka.txt #51
189,17,crème,glacé,64,utilisant de la crème glacée à la,./corpus/wikipedia/Monaka.txt #59
190,0,forme,carré,52,"Il existe plusieurs formes: carré, triangulaire",./corpus/wikipedia/Monaka.txt #75
191,8,forme,carré,52,"Il existe plusieurs formes: carré, triangulaire",./corpus/wikipedia/Monaka.txt #75
192,0,fleur,cerisier,65,"en forme de fleurs (cerisiers, chrysanthèmes",./corpus/wikipedia/Monaka.txt #85
193,8,fleur,cerisier,65,"en forme de fleurs (cerisiers, chrysanthèmes",./corpus/wikipedia/Monaka.txt #85
194,15,fleur,cerisier,65,"en forme de fleurs (cerisiers, chrysanthèmes",./corpus/wikipedia/Monaka.txt #85
195,0,cérémonie,thé,8,lors de la cérémonie du thé. Il,./corpus/wikipedia/Monaka.txt #105
196,777,pierogi,polonais,66,", apparentées aux pierogi polonais, aux",./corpus/wikipedia/Kalduny.txt #42
197,777,vareniki,ukrainien,67,"russes et aux vareniki ukrainiens.
",./corpus/wikipedia/Kalduny.txt #50
198,0,langue,slave,5,"
Dans les langues slaves, le",./corpus/wikipedia/Kalduny.txt #56
199,8,langue,slave,5,"
Dans les langues slaves, le",./corpus/wikipedia/Kalduny.txt #56
200,777,boulette,pâte,68,"Les kalduny, boulettes de pâte azyme fourrées",./corpus/wikipedia/Kalduny.txt #86
201,17,plat,similaire,69,apparentés à des plats similaires en Occident,./corpus/wikipedia/Kalduny.txt #105
202,17,ravioli,italien,70,"Orient, des raviolis italiens, des",./corpus/wikipedia/Kalduny.txt #114
203,666,ravioli,italien,70,"Orient, des raviolis italiens, des",./corpus/wikipedia/Kalduny.txt #114
204,777,ravioli,italien,70,"Orient, des raviolis italiens, des",./corpus/wikipedia/Kalduny.txt #114
205,0,jambon,fumé,71,une farce de jambon fumé et de,./corpus/wikipedia/Kalduny.txt #144
206,17,jambon,fumé,71,une farce de jambon fumé et de,./corpus/wikipedia/Kalduny.txt #144
207,106,jambon,fumé,71,une farce de jambon fumé et de,./corpus/wikipedia/Kalduny.txt #144
208,666,jambon,fumé,71,une farce de jambon fumé et de,./corpus/wikipedia/Kalduny.txt #144
209,0,nom,famille,72,"Tyshkevich, du nom d'une famille noble biélorusse",./corpus/wikipedia/Kalduny.txt #155
210,17,famille,noble,73,nom d'une famille noble biélorusse de,./corpus/wikipedia/Kalduny.txt #158
211,0,carte,visite,74,considérés comme la carte de visite de la,./corpus/wikipedia/Kalduny.txt #173
212,0,trace,mémoire,75,presque effacé leur trace de la mémoire publique et,./corpus/wikipedia/Kalduny.txt #191
213,5,trace,mémoire,75,presque effacé leur trace de la mémoire publique et,./corpus/wikipedia/Kalduny.txt #191
214,17,restaurant,local,5,que dans quelques restaurants locaux. Actuellement,./corpus/wikipedia/Kalduny.txt #206
215,777,pelmeni,russe,76,"Actuellement, les pelmeni russes et les",./corpus/wikipedia/Kalduny.txt #212
216,777,vareniki,ukrainien,76,russes et les vareniki ukrainiens sont servis,./corpus/wikipedia/Kalduny.txt #216
217,0,grand,nombre,77,dans un plus grand nombre de restaurants,./corpus/wikipedia/Kalduny.txt #223
218,6,grand,nombre,77,dans un plus grand nombre de restaurants,./corpus/wikipedia/Kalduny.txt #223
219,23,grand,nombre,77,dans un plus grand nombre de restaurants,./corpus/wikipedia/Kalduny.txt #223
220,0,eau,tiède,5,"à de l'eau tiède, des",./corpus/wikipedia/Kalduny.txt #244
221,17,eau,tiède,5,"à de l'eau tiède, des",./corpus/wikipedia/Kalduny.txt #244
222,27,eau,tiède,5,"à de l'eau tiède, des",./corpus/wikipedia/Kalduny.txt #244
223,26,eau,saler,78,dans de l'eau bien salée. Au,./corpus/wikipedia/Kalduny.txt #351
224,777,kalduny,polonais,79,"frites. Les kalduny à la polonaise, avec",./corpus/wikipedia/Kalduny.txt #390
225,0,poisson,rivière,80,une farce de poisson de rivière bouilli et,./corpus/wikipedia/Kalduny.txt #399
226,10,poisson,rivière,80,une farce de poisson de rivière bouilli et,./corpus/wikipedia/Kalduny.txt #399
227,15,poisson,rivière,80,une farce de poisson de rivière bouilli et,./corpus/wikipedia/Kalduny.txt #399
228,666,poisson,rivière,80,une farce de poisson de rivière bouilli et,./corpus/wikipedia/Kalduny.txt #399
229,0,œuf,dur,70,"bouilli et d'œufs durs, sont",./corpus/wikipedia/Kalduny.txt #405
230,0,cuisine,russe,81,connue dans la cuisine russe sous le,./corpus/wikipedia/Kalduny.txt #416
231,27,cuisine,russe,81,connue dans la cuisine russe sous le,./corpus/wikipedia/Kalduny.txt #416
232,28,cuisine,russe,81,connue dans la cuisine russe sous le,./corpus/wikipedia/Kalduny.txt #416
233,17,premier,cas,82,". Dans le premier cas, on",./corpus/wikipedia/Kalduny.txt #468
234,23,premier,cas,82,". Dans le premier cas, on",./corpus/wikipedia/Kalduny.txt #468
235,0,fromage,fermier,70,"champignons, du fromage fermier ou du",./corpus/wikipedia/Kalduny.txt #481
236,17,fromage,fermier,70,"champignons, du fromage fermier ou du",./corpus/wikipedia/Kalduny.txt #481
237,54,fromage,fermier,70,"champignons, du fromage fermier ou du",./corpus/wikipedia/Kalduny.txt #481
238,0,fruit,sec,83,ou parfois des fruits secs. La,./corpus/wikipedia/Kalduny.txt #499
239,17,fruit,sec,83,ou parfois des fruits secs. La,./corpus/wikipedia/Kalduny.txt #499
240,0,fromage,fermier,5,farce russe (fromage fermier ou purée,./corpus/wikipedia/Kalduny.txt #547
241,17,fromage,fermier,5,farce russe (fromage fermier ou purée,./corpus/wikipedia/Kalduny.txt #547
242,54,fromage,fermier,5,farce russe (fromage fermier ou purée,./corpus/wikipedia/Kalduny.txt #547
243,0,pomme,terre,84,ou purée de pommes de terre) nécessite,./corpus/wikipedia/Kalduny.txt #552
244,0,sirop,fruit,85,ou nappés de sirops de fruits. Les,./corpus/wikipedia/Kalduny.txt #573
245,9,sirop,fruit,85,ou nappés de sirops de fruits. Les,./corpus/wikipedia/Kalduny.txt #573
246,0,soupe,bouillon,86,servis dans une soupe (bouillon de bœuf,./corpus/wikipedia/Kalduny.txt #584
247,5,soupe,bouillon,86,servis dans une soupe (bouillon de bœuf,./corpus/wikipedia/Kalduny.txt #584
248,8,soupe,bouillon,86,servis dans une soupe (bouillon de bœuf,./corpus/wikipedia/Kalduny.txt #584
249,9,soupe,bouillon,86,servis dans une soupe (bouillon de bœuf,./corpus/wikipedia/Kalduny.txt #584
250,20,soupe,bouillon,86,servis dans une soupe (bouillon de bœuf,./corpus/wikipedia/Kalduny.txt #584
251,35,soupe,bouillon,86,servis dans une soupe (bouillon de bœuf,./corpus/wikipedia/Kalduny.txt #584
252,666,soupe,bouillon,86,servis dans une soupe (bouillon de bœuf,./corpus/wikipedia/Kalduny.txt #584
